,artist_name,track_name,track_id,popularity
0,Mariah Carey,All I Want for Christmas Is You,0bYg9bo50gSsH3LtXe2SQn,96
1,Mariah Carey,Christmas (Baby Please Come Home),3PIDciSFdrQxSQSihim3hN,83
2,Mariah Carey,O Holy Night,3B7FO3kJ5kv3mX7yiaB7sT,77
3,Mariah Carey,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),1Ri9P0ZPrqr6h0REDRdJBd,78
4,Mariah Carey,Sleigh Ride,7sNjm4dhGxofcgJBw0wep4,44
5,Mariah Carey,Oh Santa! (feat. Ariana Grande & Jennifer Hudson),2VkuxjlbnbaBiWYpdBGVol,45
6,Mariah Carey,Here Comes Santa Claus (Right Down Santa Claus Lane) / House Top Celebration (feat. Snoop Dogg & Jermaine Dupri),6OkevUybUFp70w4PhGdo63,40
7,Mariah Carey,When Christmas Comes - Magical Christmas Mix,3Pd2Rmoy7P5Sq1I7mU552I,40
8,Mariah Carey,All I Want For Christmas Is You - Magical Christmas Mix,4HldxXdg8tlzNrC5s45Smb,40
9,Mariah Carey,Sugar Plum Fairy - Magical Christmas Mix,5d5B4PO7p1iMgCDYbROvnc,39
10,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,97
11,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,94
12,Ariana Grande,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,94
13,Ariana Grande,pov,3UoULw70kMsiVXxW0L3A33,90
14,Ariana Grande,motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,86
15,Ariana Grande,just like magic,7Dx9Z6Aon1qPS2N0rHSWTe,83
16,Ariana Grande,Stuck with U (with Justin Bieber),4HBZA5flZLE435QTztThqH,89
17,Ariana Grande,off the table (with The Weeknd),7E1jVNoWuemqUryI4FxsVD,83
18,Ariana Grande,safety net (feat. Ty Dolla $ign),14gkWVFMwdxBMyqBw1wmIg,82
19,Ariana Grande,nasty,0sci7ppTZFm4mjcH3nu8yO,82
20,Brenda Lee,Rockin' Around The Christmas Tree,2EjXfH91m7f8HiJN1yQg97,93
21,Brenda Lee,Rockin' Around the Christmas Tree,09OojFvtrM9YRzRjnXqJjA,75
22,Jerry Butler,Ain't Understanding Mellow,5ehrJB4xFea5kph6jVoWtS,40
23,Chuck Berry,Brenda Lee,6q8K5OecXDxDAcvleP2Jxo,23
24,Jerry Butler,Ain't Understanding Mellow,1ljRPpImL8vWrF3kA1H8V0,24
25,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,2cxgEyUkMQRzQU1FOozdL1,21
26,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,34u3cZAHxcRGK55k5HfvmA,15
27,Brenda Lee,Jingle Bell Rock,1p76Dj4WwgHdr2AEjmWL1v,13
28,Ricky Van Shelton,Sweet Memories (with Brenda Lee),2au85kdFy1BjBy4McQwGrU,18
29,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,2i6wZYQF237WCwY8j9QSep,12
30,Arcade Player,Dakiti (16-Bit Bad Bunny & Jhay Cortez Emulation),74sMXgFr375v5R2h2ce4fr,3
31,Jhay Cortez,No Me Conoce - Remix,45Vh9TXTImEDJWLYKZ8Yv5,1
32,Jhay Cortez,No Me Conoce - Remix,7AxIUTibISfXcqpacAKvPo,24
33,Jhay Cortez,CÓMO SE SIENTE - Remix,2NkiShD4qSfgd2yjCqnAc9,15
34,8-Bit Arcade,Dakiti (8-Bit Bad Bunny & Jhay Cortez Emulation),6rZk29Yz8ObEwtJOIaACt5,6
35,Jhay Cortez,No Me Conoce - Remix,5sJjI5i4coRgKzIcXl8GnR,10
36,Jhay Cortez,No Me Conoce - Remix,2ZcNX5yIhHDGCYkKHpPjCe,11
37,Jhay Cortez,No Me Conoce - Remix,0R1hD4lSWK25nsCdJKWE4S,15
38,Jhay Cortez,CÓMO SE SIENTE - Remix,6JLhPiXgZuPyrQ40fBCPjj,9
39,Jhay Cortez,CÓMO SE SIENTE - Remix,53dWXBFjBMuntbcLUvGbPg,5
40,Bobby Helms,Jingle Bell Rock,7vQbuQcyTflfCIOu3Uzzya,89
41,Bobby Helms,Jingle Bell Rock,6xE98wKYt4vZk8j7cctjw8,77
42,Bobby Helms,Jingle Bell Rock,3hBXvHLlTHvnbwrPbeoyAj,83
43,Bobby Helms,Jingle Bell Rock - Single Version,2D9QSqfXI55AhZNVAk3oSu,3
44,Bobby Helms,Jingle Bell Rock - Single Version,3rgueonc7LynRsbLBiYBII,19
45,Bobby Helms,Jingle Bell Rock - Single Version,3cDTUmPPUT0HHtszLPZdvT,11
46,Bobby Helms,Jingle Bell Rock - Single Version,2O45RnrU60RCvwoP5JDLyc,16
47,Bobby Helms,Jingle Bell Rock - Single Version,6gH2q3E9liT572d0Ze0GCO,8
48,Bobby Helms,Jingle Bell Rock,16KWMWP1dl8zyidXtCIIz9,10
49,Bobby Helms,Jingle Bell Rock - Single Version,3pSv8OabACmPmY2ii33oKn,5
50,BTS,Life Goes On,249gnXrbfmV8NG6jTEMSwD,95
51,BTS,Dynamite,0t1kP63rueHleOhQkYSXFY,94
52,BTS,Dynamite,4saklk6nie3yiGePpBwUoc,91
53,BTS,Blue & Grey,0n2moJpAEWHwaPYYjkzMDl,88
54,BTS,Fly To My Room,3QH8rQGNFX8VLbCgZ7uPTS,87
55,BTS,Telepathy,2FVpOsjT1iquZ3SpCjZ9Ne,87
56,BTS,Dis-ease,54DmTIv86D3sYdiawjULQ0,86
57,BTS,Stay,3ndCsZfq8OVwwkz9mmZvUz,86
58,BTS,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,84
59,BTS,ON,2QyuXBcV1LJ2rq01KhreMF,82
60,The Weeknd,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,97
61,Maluma,Hawái - Remix,0GzuHFG4Ql6DoyxFRnIk3F,90
62,Juice WRLD,Smile (with The Weeknd),6wQlQrTY5mVS8EGaFZVwVF,84
63,Ariana Grande,off the table (with The Weeknd),7E1jVNoWuemqUryI4FxsVD,83
64,The Weeknd,The Hills,7fBv7CLKzipRk6EC6TWHOB,84
65,The Weeknd,Heartless,6bnF93Rx87YqUBLSgjiMU8,81
66,The Weeknd,Blinding Lights (with ROSALÍA) - Remix,7MXgrcOQAJ5VwSNUL0lDd3,80
67,The Weeknd,In Your Eyes,7szuecWAPwGoV1e5vGu8tl,86
68,The Weeknd,Starboy,7MXVkk9YMctZqd1Srtv4MB,84
69,The Weeknd,Call Out My Name,09mEdoA6zrmBPgTEN5qXmN,82
70,Andy Williams,It's the Most Wonderful Time of the Year,5hslUAKq9I9CG2bAulFkHN,91
71,Andy Williams,Sleigh Ride,5ymVfeMK8cDew5vzntTuc7,75
72,Andy Williams,Happy Holiday / The Holiday Season,3sDdyBHQ60Cs1opmIyRvhp,71
73,Andy Williams,It's the Most Wonderful Time of the Year,1IcR6RlgvDczfvoWJSSY2A,67
74,Andy Williams,"Moon River (From ""Breakfast at Tiffany's"")",24AIahNHzBxm9S12peXbnG,66
75,Andy Williams,Joy to the World,6zEZP4TxHeuUWayM374aF1,0
76,Andy Williams,Joy to the World,3cMZXZoaSvRKS2ye9TvNaV,1
77,Andy Williams,Joy to the World,7IlF7Pij0JU7U9aW9Pndvu,0
78,Andy Williams,Joy to the World,6FAEecFepAIFl1RpgdBidK,0
79,Andy Williams,It's the Most Wonderful Time of the Year,6PHydwtSLzGi9WJ3MyE50k,64
80,Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,95
81,Megan Thee Stallion,Body,0A1hoCfMLkiAgvhWkkucJa,87
82,Megan Thee Stallion,Girls in the Hood,6WbTTAGKrQtCQvmc5BuYfh,80
83,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,81
84,Megan Thee Stallion,Cry Baby (feat. DaBaby),4aarlAfLKVCTxUDNgbwhjH,77
85,Megan Thee Stallion,Captain Hook,1E3VQQWFQAPJkXfYHjqWoI,77
86,Megan Thee Stallion,Savage,55CHeLEfn5iJ0IIkgaa4si,80
87,Megan Thee Stallion,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,76
88,Megan Thee Stallion,Don’t Stop (feat. Young Thug),3yv7994DWTEk3ihwy75YBQ,76
89,Megan Thee Stallion,Circles,08TILUAN56HJoS1d9mNRty,76
90,DaVido,Shopping Spree (feat. Chris Brown & Young Thug),1ln2sDL64h9Y0PJIrUogM6,58
91,Chris Brown,High End (feat. Future & Young Thug),6FwiZxKXipsyGw2CVZOzol,55
92,Chris Brown,High End (feat. Future & Young Thug),6gVuvyzstcVoGF3eGPkLQ6,38
93,Chris Brown,High End (feat. Future & Young Thug),7kJFsg4IslKWan36EuGkxl,29
94,Chris Brown,Go Crazy,1IIKrJVP1C9N7iPtG6eOsK,88
95,Chris Brown,City Girls,1rJUbH0v2E8t1GY4OAUTeC,68
96,Chris Brown,Say You Love Me,4xrpNY9y0FZnxVznSwM4cw,63
97,Chris Brown,Big Slimes (feat. Gunna & Lil Duke),4dhZy7EbsbhwIS7C6Ct8mI,56
98,Chris Brown,She Bumped Her Head (feat. Gunna),21dG6mNMHwkogPh7V5e83A,57
99,Chris Brown,Go Crazy,2cKJmkbLEg5zcar0QpioUw,56
100,José Feliciano,Feliz Navidad,0oPdaY4dXtc3ZsaG17V972,83
101,José Feliciano,Feliz Navidad,7xQmVmSfCt4LD9H2uFoWOO,67
102,José Feliciano,Feliz Navidad,3rLAEFEQyNq0I9BFq4P3XG,57
103,José Feliciano,Feliz Navidad,5HVzkMOJkUqWmV7Kvak11l,1
104,José Feliciano,Tu Recuerdo Y Yo,08UZhBYpZt7T6z0l5jsZcv,0
105,José Feliciano,"El Tango De Roxanne - From ""Moulin Rouge"" Soundtrack",606WoZeEY2gs7wCne8VPUN,50
106,Farruko,Su Hija Me Gusta,5N1EdvOZKDKKIcwBcj3VmR,56
107,José Feliciano,California Dreamin',3rU0sziIji4mxvd39x6Z5X,52
108,José Feliciano,Qué Será,6idfK1mtEHiow7mHGnqhAd,49
109,José Feliciano,La Copa Rota,6H4RtasCxdA39YEndc3mjH,48
110,Nat King Cole,The Christmas Song (Merry Christmas To You),4PS1e8f2LvuTFgUs1Cn3ON,85
111,Nat King Cole,Joy To The World,1VuAamHM7P3VQQEXYGG3Uu,81
112,Nat King Cole,The Happiest Christmas Tree,5aJP0MZjb8LtPAT5WicCZm,73
113,Nat King Cole,O Tannenbaum,0aJcR4COHLndzrJya4nBBc,72
114,Nat King Cole,Deck The Hall,0rHToGels2lt8Y0mCYoF90,73
115,Nat King Cole Trio,All I Want For Christmas (Is My Two Front Teeth),4xXMJbzVQSCyprr4PG5sBj,72
116,Nat King Cole,L-O-V-E,4QxDOjgpYtQDxxbWPuEJOy,71
117,Nat King Cole Trio,All I Want For Christmas (Is My Two Front Teeth) - Remastered,4FQJyi8gnbhKy623wNx6Ps,58
118,Nat King Cole Trio,The Christmas Song (Chestnuts Roasting on an Open Fire),3ceMwoo0pppZwVozHMgoHe,56
119,Natalie Cole,Unforgettable (Duet with Nat King Cole),48D177fBErMz5p4zeAW1N5,64
120,Ava Max,Christmas Without You,1QLZKzC2pjP4ySf4ALrNhm,82
121,Ava Max,Kings & Queens,7a53HqqArd4b9NF4XAmlbI,82
122,AJ Mitchell,Slow Dance,5FNS5Vj69AhRGJWjhrAd01,76
123,Ava Max,Sweet but Psycho,7DnAm9FOTWE3cUvso43HhI,79
124,Ava Max,My Head & My Heart,1KixkQVDUHggZMU9dUobgm,78
125,Alan Walker,"Alone, Pt. II",0bMbDctzMmTyK2j74j3nF3,81
126,Ava Max,Salt,5iyZwawawLjHYpX4MxUKVF,76
